artistName,kind,primaryGenreName,trackName
Lady Gaga & Bradley Cooper,song,Soundtrack,Shallow
Michael Jackson,song,Pop,The Way You Make Me Feel
Leona Lewis,song,Hard Rock,Better In Time
Michael Jackson,song,Pop,Don't Stop 'Til You Get Enough
Jamie Foxx,song,R&B/Soul,Blame It
Beyoncé,song,Pop,***Flawless (feat. Chimamanda Ngozi Adichie)
Ed Sheeran,song,Pop,Lego House
Paramore,song,Alternative,Still Into You
Hunter Hayes,song,Country,I Want Crazy (Encore)
Kelly Clarkson,song,Pop,Already Gone
Michael Jackson,song,Pop,P.Y.T. (Pretty Young Thing)
AC/DC,song,Hard Rock,Back In Black
P!nk,song,Pop,Please Don't Leave Me
Train,song,Rock,Drops of Jupiter (Tell Me)
Jordin Sparks,song,Pop,Tattoo
P!nk,song,Pop,Blow Me (One Last Kiss)
Trey Songz,song,R&B/Soul,Say Aah (feat. Fabolous)
David Guetta,song,Dance,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)"
Journey,song,Rock,Wheel In the Sky (2024 Remaster)
Carrie Underwood,song,Country,Good Girl
Justin Timberlake,song,Soundtrack,CAN'T STOP THE FEELING!
Carrie Underwood,song,Country,Undo It
MGMT,song,Alternative,Electric Feel
One Direction,song,Pop,Night Changes
Jason Derulo,song,Pop,Want to Want Me
Beyoncé,song,Pop,Pretty Hurts
Glen Hansard & Marketa Irglová,song,Soundtrack,Falling Slowly
KONGOS,song,Alternative,Come With Me Now
Johnny Cash,song,Country,Ring of Fire
The Chainsmokers & Coldplay,song,Dance,Something Just Like This
Flo Rida,song,Hip-Hop/Rap,In the Ayer (feat. Will.I.am)
The Script,song,Pop,For the First Time
Beyoncé,song,Pop,Crazy in Love (feat. Jay-Z)
Ed Sheeran,song,Pop,Castle on the Hill
"Jack Ü, Skrillex & Diplo",song,Dance,Where Are Ü Now (feat. Justin Bieber)
Sean Kingston & Justin Bieber,song,Pop,Eenie Meenie
Charlie Puth,song,Pop,One Call Away
Kelly Clarkson,song,Pop,Catch My Breath
Beyoncé,song,Pop,Mine (feat. Drake)
James Blunt,song,Pop,You're Beautiful
Kenny Chesney,song,Country,You and Tequila (feat. Grace Potter)
Keala Settle & The Greatest Showman Ensemble,song,Soundtrack,This Is Me
Bruno Mars,song,Pop,Marry You
Ray J,song,Hip-Hop/Rap,Sexy Can I (feat. Yung Berg)
John Mayer,song,Pop,Dreaming with a Broken Heart
Journey,song,Rock,"Lovin', Touchin', Squeezin' (2024 Remaster)"
Wiz Khalifa,song,Hip-Hop/Rap,Roll Up
Madonna,song,Pop,4 Minutes (feat. Justin Timberlake & Timbaland)
One Direction,song,Pop,Steal My Girl
Israel Kamakawiwo'ole,song,Worldwide,Somewhere Over the Rainbow / What a Wonderful World
Christina Perri,song,Pop,Human
AC/DC,song,Hard Rock,You Shook Me All Night Long
P!nk,song,Pop,F**kin' Perfect
